Date,Neighborhood,Crime,Number of Cases
5/2018,Armatage,Aggravated Assault,0.0
5/2018,Armatage,Arson,0.0
5/2018,Armatage,Auto Theft,0.0
5/2018,Armatage,Burglary,0.0
5/2018,Armatage,Homicide,0.0
5/2018,Armatage,Larceny,4.0
5/2018,Armatage,Rape,0.0
5/2018,Armatage,Robbery,0.0
5/2018,Audubon Park,Aggravated Assault,2.0
5/2018,Audubon Park,Arson,0.0
5/2018,Audubon Park,Auto Theft,2.0
5/2018,Audubon Park,Burglary,11.0
5/2018,Audubon Park,Homicide,0.0
5/2018,Audubon Park,Larceny,6.0
5/2018,Audubon Park,Rape,1.0
5/2018,Audubon Park,Robbery,0.0
5/2018,Bancroft,Aggravated Assault,0.0
5/2018,Bancroft,Arson,0.0
5/2018,Bancroft,Auto Theft,2.0
5/2018,Bancroft,Burglary,3.0
5/2018,Bancroft,Homicide,0.0
5/2018,Bancroft,Larceny,3.0
5/2018,Bancroft,Rape,0.0
5/2018,Bancroft,Robbery,0.0
5/2018,Beltrami,Aggravated Assault,0.0
5/2018,Beltrami,Arson,0.0
5/2018,Beltrami,Auto Theft,0.0
5/2018,Beltrami,Burglary,1.0
5/2018,Beltrami,Homicide,0.0
5/2018,Beltrami,Larceny,1.0
5/2018,Beltrami,Rape,0.0
5/2018,Beltrami,Robbery,0.0
5/2018,Bottineau,Aggravated Assault,1.0
5/2018,Bottineau,Arson,0.0
5/2018,Bottineau,Auto Theft,2.0
5/2018,Bottineau,Burglary,2.0
5/2018,Bottineau,Homicide,0.0
5/2018,Bottineau,Larceny,3.0
5/2018,Bottineau,Rape,0.0
5/2018,Bottineau,Robbery,0.0
5/2018,Bryant,Aggravated Assault,0.0
5/2018,Bryant,Arson,0.0
5/2018,Bryant,Auto Theft,0.0
5/2018,Bryant,Burglary,0.0
5/2018,Bryant,Homicide,0.0
5/2018,Bryant,Larceny,0.0
5/2018,Bryant,Rape,0.0
5/2018,Bryant,Robbery,0.0
5/2018,Bryn - Mawr,Aggravated Assault,0.0
5/2018,Bryn - Mawr,Arson,0.0
5/2018,Bryn - Mawr,Auto Theft,0.0
5/2018,Bryn - Mawr,Burglary,1.0
5/2018,Bryn - Mawr,Homicide,0.0
5/2018,Bryn - Mawr,Larceny,6.0
5/2018,Bryn - Mawr,Rape,0.0
5/2018,Bryn - Mawr,Robbery,0.0
5/2018,Camden Industrial,Aggravated Assault,0.0
5/2018,Camden Industrial,Arson,0.0
5/2018,Camden Industrial,Auto Theft,0.0
5/2018,Camden Industrial,Burglary,0.0
5/2018,Camden Industrial,Homicide,0.0
5/2018,Camden Industrial,Larceny,1.0
5/2018,Camden Industrial,Rape,0.0
5/2018,Camden Industrial,Robbery,0.0
5/2018,South Uptown,Aggravated Assault,2.0
5/2018,South Uptown,Arson,0.0
5/2018,South Uptown,Auto Theft,3.0
5/2018,South Uptown,Burglary,9.0
5/2018,South Uptown,Homicide,0.0
5/2018,South Uptown,Larceny,21.0
