Neighborhood,Crime,Number of Cases,Date
Armatage,Aggravated Assault,0.0,2018-01-01
Armatage,Arson,0.0,2018-01-01
Armatage,Auto Theft,0.0,2018-01-01
Armatage,Burglary,0.0,2018-01-01
Armatage,Homicide,0.0,2018-01-01
Armatage,Larceny,5.0,2018-01-01
Armatage,Rape,0.0,2018-01-01
Armatage,Robbery,1.0,2018-01-01
Audubon Park,Aggravated Assault,0.0,2018-01-01
Audubon Park,Arson,0.0,2018-01-01
Audubon Park,Auto Theft,5.0,2018-01-01
Audubon Park,Burglary,2.0,2018-01-01
Audubon Park,Homicide,0.0,2018-01-01
Audubon Park,Larceny,7.0,2018-01-01
Audubon Park,Rape,0.0,2018-01-01
Audubon Park,Robbery,0.0,2018-01-01
Bancroft,Aggravated Assault,0.0,2018-01-01
Bancroft,Arson,0.0,2018-01-01
Bancroft,Auto Theft,2.0,2018-01-01
Bancroft,Burglary,1.0,2018-01-01
Bancroft,Homicide,0.0,2018-01-01
Bancroft,Larceny,2.0,2018-01-01
Bancroft,Rape,0.0,2018-01-01
Bancroft,Robbery,0.0,2018-01-01
Beltrami,Aggravated Assault,0.0,2018-01-01
Beltrami,Arson,0.0,2018-01-01
Beltrami,Auto Theft,1.0,2018-01-01
Beltrami,Burglary,0.0,2018-01-01
Beltrami,Homicide,0.0,2018-01-01
Beltrami,Larceny,1.0,2018-01-01
Beltrami,Rape,0.0,2018-01-01
Beltrami,Robbery,0.0,2018-01-01
Bottineau,Aggravated Assault,1.0,2018-01-01
Bottineau,Arson,0.0,2018-01-01
Bottineau,Auto Theft,1.0,2018-01-01
Bottineau,Burglary,1.0,2018-01-01
Bottineau,Homicide,0.0,2018-01-01
Bottineau,Larceny,2.0,2018-01-01
Bottineau,Rape,0.0,2018-01-01
Bottineau,Robbery,3.0,2018-01-01
Bryant,Aggravated Assault,1.0,2018-01-01
Bryant,Arson,0.0,2018-01-01
Bryant,Auto Theft,3.0,2018-01-01
Bryant,Burglary,3.0,2018-01-01
Bryant,Homicide,0.0,2018-01-01
Bryant,Larceny,6.0,2018-01-01
Bryant,Rape,0.0,2018-01-01
Bryant,Robbery,1.0,2018-01-01
Bryn - Mawr,Aggravated Assault,0.0,2018-01-01
Bryn - Mawr,Arson,0.0,2018-01-01
Bryn - Mawr,Auto Theft,0.0,2018-01-01
Bryn - Mawr,Burglary,1.0,2018-01-01
Bryn - Mawr,Homicide,0.0,2018-01-01
Bryn - Mawr,Larceny,2.0,2018-01-01
Bryn - Mawr,Rape,0.0,2018-01-01
Bryn - Mawr,Robbery,0.0,2018-01-01
