Date,Neighborhood,Crime,Number of Cases
4/2020,Armatage,Aggravated Assault,0.0
4/2020,Armatage,Arson,0.0
4/2020,Armatage,Auto Theft,0.0
4/2020,Armatage,Burglary,2.0
4/2020,Armatage,Homicide,0.0
4/2020,Armatage,Larceny,3.0
4/2020,Armatage,Rape,0.0
4/2020,Armatage,Robbery,0.0
4/2020,Audubon Park,Aggravated Assault,0.0
4/2020,Audubon Park,Arson,0.0
4/2020,Audubon Park,Auto Theft,1.0
4/2020,Audubon Park,Burglary,2.0
4/2020,Audubon Park,Homicide,0.0
4/2020,Audubon Park,Larceny,4.0
4/2020,Audubon Park,Rape,1.0
4/2020,Audubon Park,Robbery,1.0
4/2020,Bancroft,Aggravated Assault,0.0
4/2020,Bancroft,Arson,0.0
4/2020,Bancroft,Auto Theft,3.0
4/2020,Bancroft,Burglary,4.0
4/2020,Bancroft,Homicide,0.0
4/2020,Bancroft,Larceny,6.0
4/2020,Bancroft,Rape,1.0
4/2020,Bancroft,Robbery,1.0
4/2020,Beltrami,Aggravated Assault,0.0
4/2020,Beltrami,Arson,0.0
4/2020,Beltrami,Auto Theft,0.0
4/2020,Beltrami,Burglary,1.0
4/2020,Beltrami,Homicide,0.0
4/2020,Beltrami,Larceny,4.0
4/2020,Beltrami,Rape,0.0
4/2020,Beltrami,Robbery,0.0
4/2020,Bottineau,Aggravated Assault,0.0
4/2020,Bottineau,Arson,0.0
4/2020,Bottineau,Auto Theft,0.0
4/2020,Bottineau,Burglary,1.0
4/2020,Bottineau,Homicide,0.0
4/2020,Bottineau,Larceny,1.0
4/2020,Bottineau,Rape,0.0
4/2020,Bottineau,Robbery,0.0
4/2020,Bryant,Aggravated Assault,3.0
4/2020,Bryant,Arson,0.0
4/2020,Bryant,Auto Theft,2.0
4/2020,Bryant,Burglary,0.0
4/2020,Bryant,Homicide,0.0
4/2020,Bryant,Larceny,4.0
4/2020,Bryant,Rape,0.0
4/2020,Bryant,Robbery,0.0
4/2020,Bryn - Mawr,Aggravated Assault,1.0
4/2020,Bryn - Mawr,Arson,0.0
4/2020,Bryn - Mawr,Auto Theft,1.0
4/2020,Bryn - Mawr,Burglary,1.0
4/2020,Bryn - Mawr,Homicide,0.0
4/2020,Bryn - Mawr,Larceny,4.0
4/2020,Bryn - Mawr,Rape,0.0
4/2020,Bryn - Mawr,Robbery,0.0
4/2020,South Uptown,Aggravated Assault,0.0
4/2020,South Uptown,Arson,0.0
4/2020,South Uptown,Auto Theft,4.0
4/2020,South Uptown,Burglary,6.0
4/2020,South Uptown,Homicide,0.0
4/2020,South Uptown,Larceny,11.0
4/2020,South Uptown,Rape,0.0
4/2020,South Uptown,Robbery,2.0
4/2020,Camden Industrial,Aggravated Assault,0.0
4/2020,Camden Industrial,Arson,0.0
4/2020,Camden Industrial,Auto Theft,2.0
4/2020,Camden Industrial,Burglary,0.0
4/2020,Camden Industrial,Homicide,0.0
4/2020,Camden Industrial,Larceny,1.0
4/2020,Camden Industrial,Rape,0.0
4/2020,Camden Industrial,Robbery,0.0
4/2020,Cedar - Isles - Dean,Aggravated Assault,0.0
4/2020,Cedar - Isles - Dean,Arson,0.0
4/2020,Cedar - Isles - Dean,Auto Theft,2.0
4/2020,Cedar - Isles - Dean,Burglary,7.0
4/2020,Cedar - Isles - Dean,Homicide,0.0
4/2020,Cedar - Isles - Dean,Larceny,7.0
4/2020,Cedar - Isles - Dean,Rape,0.0
4/2020,Cedar - Isles - Dean,Robbery,0.0
4/2020,Cedar Riverside,Aggravated Assault,2.0
4/2020,Cedar Riverside,Arson,0.0
4/2020,Cedar Riverside,Auto Theft,7.0
4/2020,Cedar Riverside,Burglary,7.0
4/2020,Cedar Riverside,Homicide,0.0
4/2020,Cedar Riverside,Larceny,17.0
4/2020,Cedar Riverside,Rape,0.0
4/2020,Cedar Riverside,Robbery,5.0
4/2020,Central,Aggravated Assault,2.0
4/2020,Central,Arson,0.0
4/2020,Central,Auto Theft,5.0
4/2020,Central,Burglary,1.0
4/2020,Central,Homicide,0.0
4/2020,Central,Larceny,9.0
4/2020,Central,Rape,0.0
4/2020,Central,Robbery,2.0
4/2020,Cleveland,Aggravated Assault,2.0
4/2020,Cleveland,Arson,0.0
4/2020,Cleveland,Auto Theft,2.0
4/2020,Cleveland,Burglary,5.0
4/2020,Cleveland,Homicide,0.0
4/2020,Cleveland,Larceny,4.0
4/2020,Cleveland,Rape,0.0
4/2020,Cleveland,Robbery,0.0
4/2020,Columbia Park,Aggravated Assault,0.0
4/2020,Columbia Park,Arson,0.0
4/2020,Columbia Park,Auto Theft,1.0
4/2020,Columbia Park,Burglary,0.0
4/2020,Columbia Park,Homicide,0.0
4/2020,Columbia Park,Larceny,3.0
4/2020,Columbia Park,Rape,0.0
4/2020,Columbia Park,Robbery,0.0
4/2020,Como,Aggravated Assault,3.0
4/2020,Como,Arson,0.0
4/2020,Como,Auto Theft,6.0
4/2020,Como,Burglary,2.0
4/2020,Como,Homicide,0.0
4/2020,Como,Larceny,17.0
4/2020,Como,Rape,1.0
4/2020,Como,Robbery,0.0
4/2020,Cooper,Aggravated Assault,0.0
4/2020,Cooper,Arson,0.0
4/2020,Cooper,Auto Theft,1.0
4/2020,Cooper,Burglary,2.0
4/2020,Cooper,Homicide,0.0
4/2020,Cooper,Larceny,7.0
4/2020,Cooper,Rape,0.0
4/2020,Cooper,Robbery,0.0
4/2020,Corcoran,Aggravated Assault,0.0
4/2020,Corcoran,Arson,0.0
4/2020,Corcoran,Auto Theft,2.0
4/2020,Corcoran,Burglary,6.0
4/2020,Corcoran,Homicide,0.0
4/2020,Corcoran,Larceny,15.0
4/2020,Corcoran,Rape,0.0
4/2020,Corcoran,Robbery,0.0
4/2020,Diamond Lake,Aggravated Assault,0.0
4/2020,Diamond Lake,Arson,0.0
4/2020,Diamond Lake,Auto Theft,5.0
4/2020,Diamond Lake,Burglary,1.0
4/2020,Diamond Lake,Homicide,0.0
4/2020,Diamond Lake,Larceny,3.0
4/2020,Diamond Lake,Rape,1.0
4/2020,Diamond Lake,Robbery,0.0
4/2020,Downtown East,Aggravated Assault,1.0
4/2020,Downtown East,Arson,0.0
4/2020,Downtown East,Auto Theft,0.0
4/2020,Downtown East,Burglary,2.0
4/2020,Downtown East,Homicide,0.0
4/2020,Downtown East,Larceny,7.0
4/2020,Downtown East,Rape,0.0
4/2020,Downtown East,Robbery,0.0
4/2020,Downtown West,Aggravated Assault,10.0
4/2020,Downtown West,Arson,0.0
4/2020,Downtown West,Auto Theft,4.0
4/2020,Downtown West,Burglary,12.0
4/2020,Downtown West,Homicide,0.0
4/2020,Downtown West,Larceny,34.0
4/2020,Downtown West,Rape,1.0
4/2020,Downtown West,Robbery,2.0
4/2020,East Bde Maka Ska,Aggravated Assault,0.0
4/2020,East Bde Maka Ska,Arson,0.0
4/2020,East Bde Maka Ska,Auto Theft,0.0
4/2020,East Bde Maka Ska,Burglary,3.0
4/2020,East Bde Maka Ska,Homicide,0.0
4/2020,East Bde Maka Ska,Larceny,6.0
4/2020,East Bde Maka Ska,Rape,0.0
4/2020,East Bde Maka Ska,Robbery,0.0
4/2020,East Harriet,Aggravated Assault,0.0
4/2020,East Harriet,Arson,0.0
4/2020,East Harriet,Auto Theft,3.0
4/2020,East Harriet,Burglary,0.0
4/2020,East Harriet,Homicide,0.0
4/2020,East Harriet,Larceny,8.0
4/2020,East Harriet,Rape,0.0
4/2020,East Harriet,Robbery,0.0
4/2020,East Isles,Aggravated Assault,1.0
4/2020,East Isles,Arson,0.0
4/2020,East Isles,Auto Theft,4.0
4/2020,East Isles,Burglary,7.0
4/2020,East Isles,Homicide,0.0
4/2020,East Isles,Larceny,8.0
4/2020,East Isles,Rape,0.0
4/2020,East Isles,Robbery,1.0
4/2020,East Phillips,Aggravated Assault,3.0
4/2020,East Phillips,Arson,0.0
4/2020,East Phillips,Auto Theft,8.0
4/2020,East Phillips,Burglary,7.0
4/2020,East Phillips,Homicide,0.0
4/2020,East Phillips,Larceny,18.0
4/2020,East Phillips,Rape,0.0
4/2020,East Phillips,Robbery,4.0
4/2020,Elliot Park,Aggravated Assault,2.0
4/2020,Elliot Park,Arson,0.0
4/2020,Elliot Park,Auto Theft,3.0
4/2020,Elliot Park,Burglary,6.0
4/2020,Elliot Park,Homicide,0.0
4/2020,Elliot Park,Larceny,13.0
4/2020,Elliot Park,Rape,0.0
4/2020,Elliot Park,Robbery,1.0
4/2020,Ericsson,Aggravated Assault,0.0
4/2020,Ericsson,Arson,0.0
4/2020,Ericsson,Auto Theft,2.0
4/2020,Ericsson,Burglary,3.0
4/2020,Ericsson,Homicide,0.0
4/2020,Ericsson,Larceny,5.0
4/2020,Ericsson,Rape,0.0
4/2020,Ericsson,Robbery,0.0
4/2020,Field,Aggravated Assault,0.0
4/2020,Field,Arson,0.0
4/2020,Field,Auto Theft,0.0
4/2020,Field,Burglary,1.0
4/2020,Field,Homicide,0.0
4/2020,Field,Larceny,0.0
4/2020,Field,Rape,0.0
4/2020,Field,Robbery,0.0
4/2020,Folwell,Aggravated Assault,9.0
4/2020,Folwell,Arson,0.0
4/2020,Folwell,Auto Theft,4.0
4/2020,Folwell,Burglary,1.0
4/2020,Folwell,Homicide,0.0
4/2020,Folwell,Larceny,11.0
4/2020,Folwell,Rape,1.0
4/2020,Folwell,Robbery,5.0
4/2020,Fulton,Aggravated Assault,0.0
4/2020,Fulton,Arson,0.0
4/2020,Fulton,Auto Theft,0.0
4/2020,Fulton,Burglary,1.0
4/2020,Fulton,Homicide,0.0
4/2020,Fulton,Larceny,1.0
4/2020,Fulton,Rape,0.0
4/2020,Fulton,Robbery,0.0
4/2020,Hale,Aggravated Assault,0.0
4/2020,Hale,Arson,0.0
4/2020,Hale,Auto Theft,0.0
4/2020,Hale,Burglary,1.0
4/2020,Hale,Homicide,0.0
4/2020,Hale,Larceny,5.0
4/2020,Hale,Rape,0.0
4/2020,Hale,Robbery,0.0
4/2020,Harrison,Aggravated Assault,3.0
4/2020,Harrison,Arson,1.0
4/2020,Harrison,Auto Theft,1.0
4/2020,Harrison,Burglary,0.0
4/2020,Harrison,Homicide,0.0
4/2020,Harrison,Larceny,5.0
4/2020,Harrison,Rape,0.0
4/2020,Harrison,Robbery,2.0
4/2020,Hawthorne,Aggravated Assault,5.0
4/2020,Hawthorne,Arson,0.0
4/2020,Hawthorne,Auto Theft,8.0
4/2020,Hawthorne,Burglary,2.0
4/2020,Hawthorne,Homicide,0.0
4/2020,Hawthorne,Larceny,13.0
4/2020,Hawthorne,Rape,1.0
4/2020,Hawthorne,Robbery,2.0
4/2020,Hiawatha,Aggravated Assault,1.0
4/2020,Hiawatha,Arson,0.0
4/2020,Hiawatha,Auto Theft,4.0
4/2020,Hiawatha,Burglary,6.0
4/2020,Hiawatha,Homicide,0.0
4/2020,Hiawatha,Larceny,10.0
4/2020,Hiawatha,Rape,0.0
4/2020,Hiawatha,Robbery,1.0
4/2020,Holland,Aggravated Assault,3.0
4/2020,Holland,Arson,0.0
4/2020,Holland,Auto Theft,1.0
4/2020,Holland,Burglary,4.0
4/2020,Holland,Homicide,0.0
4/2020,Holland,Larceny,5.0
4/2020,Holland,Rape,1.0
4/2020,Holland,Robbery,1.0
4/2020,Howe,Aggravated Assault,1.0
4/2020,Howe,Arson,0.0
4/2020,Howe,Auto Theft,4.0
4/2020,Howe,Burglary,4.0
4/2020,Howe,Homicide,0.0
4/2020,Howe,Larceny,9.0
4/2020,Howe,Rape,0.0
4/2020,Howe,Robbery,0.0
4/2020,Humboldt Industrial Area,Aggravated Assault,0.0
4/2020,Humboldt Industrial Area,Arson,0.0
4/2020,Humboldt Industrial Area,Auto Theft,0.0
4/2020,Humboldt Industrial Area,Burglary,0.0
4/2020,Humboldt Industrial Area,Homicide,0.0
4/2020,Humboldt Industrial Area,Larceny,0.0
4/2020,Humboldt Industrial Area,Rape,0.0
4/2020,Humboldt Industrial Area,Robbery,0.0
4/2020,Jordan,Aggravated Assault,13.0
4/2020,Jordan,Arson,0.0
4/2020,Jordan,Auto Theft,5.0
4/2020,Jordan,Burglary,4.0
4/2020,Jordan,Homicide,0.0
4/2020,Jordan,Larceny,5.0
4/2020,Jordan,Rape,1.0
4/2020,Jordan,Robbery,4.0
4/2020,Keewaydin,Aggravated Assault,0.0
4/2020,Keewaydin,Arson,0.0
4/2020,Keewaydin,Auto Theft,0.0
4/2020,Keewaydin,Burglary,1.0
4/2020,Keewaydin,Homicide,0.0
4/2020,Keewaydin,Larceny,4.0
4/2020,Keewaydin,Rape,0.0
4/2020,Keewaydin,Robbery,0.0
4/2020,Kenny,Aggravated Assault,1.0
4/2020,Kenny,Arson,0.0
4/2020,Kenny,Auto Theft,0.0
4/2020,Kenny,Burglary,3.0
4/2020,Kenny,Homicide,0.0
4/2020,Kenny,Larceny,3.0
4/2020,Kenny,Rape,0.0
4/2020,Kenny,Robbery,0.0
4/2020,Kenwood,Aggravated Assault,0.0
4/2020,Kenwood,Arson,0.0
4/2020,Kenwood,Auto Theft,1.0
4/2020,Kenwood,Burglary,0.0
4/2020,Kenwood,Homicide,0.0
4/2020,Kenwood,Larceny,2.0
4/2020,Kenwood,Rape,0.0
4/2020,Kenwood,Robbery,0.0
4/2020,King Field,Aggravated Assault,1.0
4/2020,King Field,Arson,0.0
4/2020,King Field,Auto Theft,5.0
4/2020,King Field,Burglary,9.0
4/2020,King Field,Homicide,0.0
4/2020,King Field,Larceny,12.0
